Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Equilibre TCS moyen,Training Stress Score® (TSS®),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de coups,SWOLF moyen,Fréquence moy. des coups,Total répétitions,Total séries,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de tours,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Course à pied,2024-05-09 15:49:57,false,"Paris Course à pied","9.45","720","00:49:25","162","193","3.9","161","172","5:14","3:58","33","31","1.18","9.8","11.6","259","48.7% G / 51.3% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","00:01:37.2","11","29.0","33","19","42","00:48:16","00:49:25","34","53"
Course à pied,2024-05-08 18:40:10,false,"Paris Course à pied","7.33","522","00:43:53","133","151","2.5","159","190","5:59","5:04","21","20","1.05","10.4","11.1","272","49.2% G / 50.8% D","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:00:01.0","9","26.0","26","14","34","00:43:24","00:43:54","45","58"
Course à pied,2024-05-07 18:48:17,false,"Paris Course à pied","1.44","106","00:07:15.2","148","174","2.1","162","221","5:03","3:55","10","--","1.23","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","00:02:17.9","2","26.0","--","--","--","00:06:55.3","00:07:15.2","41","52"
Musculation,2024-05-07 18:36:41,false,"Musculation","0.00","111","00:10:42","127","145","1.0","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","115","9","0:00","23.0","0:00","Non","00:10:42","1","26.0","--","--","--","00:03:52.0","00:10:42","--","--"
Course à pied,2024-05-07 18:33:10,false,"Paris Course à pied","0.57","43","00:02:40.8","130","144","1.7","160","171","4:40","3:31","--","2","1.34","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Non","00:02:40.8","1","26.0","--","--","--","00:02:39","00:02:40.8","41","45"
Musculation,2024-05-07 18:28:07,false,"Musculation","0.00","42","00:04:44.8","117","146","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","60","4","0:00","24.0","0:00","Non","00:04:44.8","1","25.0","--","--","--","00:01:40.2","00:04:48.8","--","--"
Course à pied,2024-05-07 18:24:30,false,"Paris Course à pied","0.64","46","00:03:10.3","132","146","1.1","160","168","4:58","4:08","1","4","1.26","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","Non","00:03:10.3","1","26.0","--","--","--","00:03:07","00:03:10.3","41","46"
Musculation,2024-05-07 18:19:36,false,"Musculation","0.00","41","00:04:36.9","116","129","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","60","4","0:00","25.0","0:00","Non","00:04:36.9","1","26.0","--","--","--","00:01:33.5","00:04:36.9","--","--"
Course à pied,2024-05-07 18:08:29,false,"Paris Course à pied","1.18","91","00:07:26.6","131","145","1.4","155","167","6:17","3:58","3","14","1.03","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","Non","00:01:11.4","2","30.0","--","--","--","00:07:00","00:07:26.6","39","53"
Course à pied,2024-05-04 16:13:49,false,"Paris Course à pied","6.12","438","00:30:42","149","170","3.3","162","174","5:01","3:47","20","19","1.24","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:00:40.0","7","28.0","--","--","--","00:30:15","00:30:42","40","53"
Course à pied,2024-05-03 08:48:43,false,"Audierne Course à pied","6.00","469","00:34:25","151","175","3.1","160","171","5:44","4:50","81","82","1.09","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Non","00:05:25.2","6","25.0","--","--","--","00:34:24","00:34:25","2","46"
Musculation,2024-05-02 17:47:49,false,"Musculation","0.00","426","00:53:50","119","151","1.9","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","247","29","0:00","26.0","0:00","Non","00:53:50","1","29.0","--","--","--","00:17:07","00:53:50","--","--"
Course à pied,2024-05-01 18:04:15,false,"Audierne Course à pied","6.66","512","00:36:03","146","176","3.6","162","195","5:25","4:06","86","87","1.14","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:01:16.3","8","28.0","--","--","--","00:36:01","00:36:03","3","46"
Course à pied,2024-04-30 18:21:45,false,"Audierne Course à pied","8.26","643","00:46:06","142","162","3.5","160","175","5:35","4:13","92","89","1.12","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:01:28.4","9","24.0","--","--","--","00:46:04","00:46:06","3","48"
Musculation,2024-04-29 18:24:29,false,"Musculation","0.00","364","00:52:08","112","153","1.6","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","220","28","0:00","27.0","0:00","Non","00:52:08","1","29.0","--","--","--","00:17:09","00:52:08","--","--"
Course à pied,2024-04-28 15:59:27,false,"Audierne - Base","6.51","504","00:36:37","139","170","3.3","160","177","5:37","4:46","82","81","1.11","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:02:57.1","7","29.0","--","--","--","00:36:35","00:36:37","4","47"
Course à pied,2024-04-27 16:06:29,false,"Audierne Course à pied","8.27","655","00:45:39","154","187","3.7","161","176","5:31","4:13","107","104","1.12","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","Non","00:00:19.4","10","28.0","--","--","--","00:45:36","00:45:39","-1","45"
Musculation,2024-04-26 17:28:00,false,"Musculation","0.00","362","00:52:22","113","142","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","204","23","0:00","26.0","0:00","Non","00:52:22","1","29.0","--","--","--","00:14:45","00:52:22","--","--"
Course à pied,2024-04-25 18:06:02,false,"Audierne Course à pied","5.93","466","00:34:31","145","166","3.2","160","181","5:49","4:47","79","78","1.07","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:05:38.0","6","27.0","--","--","--","00:34:30","00:34:31","9","49"
Course à pied,2024-04-25 18:06:02,false,"Audierne Course à pied","5.93","466","00:34:31","145","166","3.2","160","181","5:49","4:47","79","78","1.07","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Non","00:05:38.0","6","27.0","--","--","--","00:34:30","00:34:31","9","49"
Course à pied,2024-04-24 17:53:56,false,"Audierne Course à pied","8.24","652","00:44:45","153","180","3.8","162","183","5:26","3:56","101","102","1.14","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Non","00:01:25.7","9","26.0","--","--","--","00:44:44","00:44:45","2","49"
Musculation,2024-04-23 18:38:59,false,"Musculation","0.00","283","00:44:39","107","142","1.1","--","--","--","--","--","--","0.00","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","186","24","0:00","27.0","0:00","Non","00:44:39","1","30.0","--","--","--","00:11:51","00:44:39","--","--"
Course à pied,2024-04-22 17:52:58,false,"Audierne - Base","6.00","462","00:32:55","146","173","3.3","161","182","5:29","4:20","83","83","1.13","0.0","0.0","0","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","Non","00:02:54.6","7","30.0","--","--","--","00:32:52","00:32:55","5","46"
