Date;Calories actives;Calories au repos;Calories dépensées au total
15 Avr.;772;1,837;2,609
14 Avr.;1,491;2,187;3,678
13 Avr.;620;2,187;2,807
12 Avr.;607;2,187;2,794
11 Avr.;554;2,187;2,741
10 Avr.;1,359;2,187;3,546
9 Avr.;214;2,187;2,401
8 Avr.;2,669;2,187;4,856
7 Avr.;1,758;2,187;3,945
6 Avr.;3,804;2,187;5,991
5 Avr.;2,962;2,187;5,149
4 Avr.;411;2,187;2,598
3 Avr.;1,545;2,187;3,732
2 Avr.;522;2,187;2,709
1 Avr.;400;2,187;2,587
31 Mar.;971;2,187;3,158
30 Mar.;3,113;2,187;5,3
29 Mar.;2,169;2,187;4,356
28 Mar.;3,041;2,187;5,228
27 Mar.;603;2,187;2,79
26 Mar.;1,034;2,187;3,221
25 Mar.;140;2,187;2,327
24 Mar.;775;2,187;2,962
23 Mar.;1,538;2,187;3,725
22 Mar.;2,993;2,187;5,18
21 Mar.;970;2,187;3,157
20 Mar.;615;2,187;2,802
19 Mar.;1,235;2,187;3,422
18 Mar.;710;2,187;2,897
17 Mar.;0;2,187;2,187
16 Mar.;8;2,187;2,195
15 Mar.;891;2,187;3,078
14 Mar.;1,192;2,187;3,379
13 Mar.;406;2,187;2,593
12 Mar.;518;2,187;2,705
11 Mar.;204;2,187;2,391
10 Mar.;3,803;2,187;5,99
9 Mar.;1,312;2,187;3,499
8 Mar.;103;2,187;2,29
7 Mar.;481;2,187;2,668
6 Mar.;431;2,187;2,618
5 Mar.;796;2,187;2,983
4 Mar.;576;2,187;2,763
3 Mar.;458;2,187;2,645
2 Mar.;2,236;2,187;4,423
1 Mar.;328;2,187;2,515
29 Fév.;749;2,187;2,936
28 Fév.;350;2,187;2,537
27 Fév.;791;2,187;2,978
26 Fév.;805;2,187;2,992
25 Fév.;429;2,187;2,616
24 Fév.;3,739;2,187;5,926
23 Fév.;3,148;2,187;5,335
22 Fév.;545;2,187;2,732
21 Fév.;763;2,187;2,95
20 Fév.;1,136;2,187;3,323
19 Fév.;460;2,187;2,647
18 Fév.;12;2,187;2,199
17 Fév.;0;2,187;2,187
16 Fév.;123;2,187;2,31
15 Fév.;401;2,187;2,588
14 Fév.;797;2,187;2,984
13 Fév.;1,056;2,187;3,243
12 Fév.;923;2,187;3,11
11 Fév.;883;2,187;3,07
10 Fév.;693;2,187;2,88
9 Fév.;1,011;2,187;3,198
8 Fév.;68;2,187;2,255
7 Fév.;522;2,187;2,709
6 Fév.;226;2,187;2,413
5 Fév.;786;2,187;2,973
4 Fév.;349;2,187;2,536
3 Fév.;1,078;2,187;3,265
1 Fév.;0;1,362;1,362
31 Jan.;0;2,187;2,187
30 Jan.;513;2,187;2,7
29 Jan.;253;2,187;2,44
28 Jan.;570;2,187;2,757
27 Jan.;1,422;2,187;3,609
26 Jan.;1,112;2,187;3,299
25 Jan.;431;2,187;2,618
24 Jan.;116;2,187;2,303
23 Jan.;29;2,187;2,216
22 Jan.;1,024;2,183;3,207
21 Jan.;579;2,187;2,766
20 Jan.;51;1,477;1,528
19 Jan.;337;2,187;2,524
18 Jan.;0;2,187;2,187
17 Jan.;89;2,187;2,276
16 Jan.;1,496;2,187;3,683
15 Jan.;1,139;2,187;3,326
14 Jan.;831;2,187;3,018
13 Jan.;443;2,187;2,63
12 Jan.;809;2,187;2,996
11 Jan.;574;2,187;2,761
10 Jan.;1,207;2,18;3,387
9 Jan.;116;2,185;2,301
6 Jan.;1,519;985;2,504
5 Jan.;866;2,187;3,053
4 Jan.;669;2,187;2,856
3 Jan.;893;2,187;3,08
2 Jan.;504;2,187;2,691
1 Jan.;1,519;2,187;3,706
31 Déc.;282;2,193;2,475
30 Déc.;88;2,193;2,281
29 Déc.;1,09;2,193;3,283
28 Déc.;162;2,193;2,355
27 Déc.;53;2,193;2,246
26 Déc.;878;2,193;3,071
25 Déc.;725;2,193;2,918
24 Déc.;76;2,193;2,269
23 Déc.;819;2,193;3,012
22 Déc.;379;2,193;2,572
21 Déc.;1,328;2,193;3,521
20 Déc.;609;2,193;2,802
19 Déc.;387;2,193;2,58
18 Déc.;763;2,193;2,956
17 Déc.;258;2,193;2,451
16 Déc.;1,837;2,193;4,03
15 Déc.;703;2,193;2,896
14 Déc.;34;2,193;2,227
13 Déc.;1,295;2,193;3,488
12 Déc.;577;2,193;2,77
11 Déc.;61;2,193;2,254
10 Déc.;454;2,193;2,647
9 Déc.;952;2,193;3,145
8 Déc.;113;2,193;2,306
7 Déc.;690;2,193;2,883
6 Déc.;935;2,193;3,128
5 Déc.;171;2,193;2,364
4 Déc.;245;2,193;2,438
3 Déc.;116;2,193;2,309
2 Déc.;2,451;2,193;4,644
1 Déc.;705;2,193;2,898
30 Nov.;919;2,193;3,112
29 Nov.;625;2,193;2,818
28 Nov.;1,653;2,193;3,846
27 Nov.;439;2,193;2,632
26 Nov.;837;2,193;3,03
25 Nov.;1,922;2,193;4,115
24 Nov.;849;2,193;3,042
23 Nov.;1,099;2,193;3,292
22 Nov.;12;2,193;2,205
21 Nov.;294;2,193;2,487
20 Nov.;839;2,193;3,032
19 Nov.;0;2,193;2,193
18 Nov.;894;2,193;3,087
17 Nov.;748;2,193;2,941
16 Nov.;1,25;2,193;3,443
15 Nov.;322;2,193;2,515
14 Nov.;1,404;2,193;3,597
13 Nov.;647;2,193;2,84
12 Nov.;879;1,477;2,356
11 Nov.;1,207;2,193;3,4
10 Nov.;657;2,193;2,85
9 Nov.;120;2,193;2,313
8 Nov.;749;2,193;2,942
7 Nov.;633;2,193;2,826
6 Nov.;577;2,193;2,77
5 Nov.;0;540;540
4 Nov.;925;2,193;3,118
3 Nov.;23;2,193;2,216
2 Nov.;860;2,193;3,053
1 Nov.;1,807;2,193;4
31-oct;816;2,193;3,009
30-oct;637;2,193;2,83
29-oct;522;2,193;2,715
28-oct;1,182;2,193;3,375
27-oct;831;2,193;3,024
26-oct;873;2,193;3,066
25-oct;86;2,193;2,279
24-oct;1,35;2,193;3,543
23-oct;588;2,193;2,781
22-oct;1,134;2,193;3,327
21-oct;1,109;2,193;3,302
20-oct;1,043;2,193;3,236
19-oct;261;2,193;2,454
18-oct;991;2,193;3,184
17-oct;834;2,193;3,027
16-oct;784;2,193;2,977
15-oct;1,389;2,193;3,582
14-oct;802;2,193;2,995
13-oct;0;2,193;2,193
12-oct;35;2,193;2,228
11-oct;960;2,193;3,153
10-oct;1,093;2,193;3,286
09-oct;669;2,193;2,862
08-oct;0;1,104;1,104
07-oct;2,339;2,193;4,532
06-oct;1,188;2,193;3,381
05-oct;556;2,193;2,749
04-oct;355;2,193;2,548
03-oct;753;2,193;2,946
02-oct;862;2,193;3,055
01-oct;1,444;2,193;3,637
30 Sep.;442;2,193;2,635
29 Sep.;1,123;1,914;3,037
28 Sep.;1,06;2,193;3,253
27 Sep.;1,426;2,193;3,619
