Date;Repos;Le plus haut
16 Avr.;52 bpm;69 bpm
15 Avr.;52 bpm;167 bpm
14 Avr.;61 bpm;142 bpm
13 Avr.;58 bpm;126 bpm
12 Avr.;53 bpm;152 bpm
11 Avr.;57 bpm;126 bpm
10 Avr.;60 bpm;183 bpm
9 Avr.;52 bpm;124 bpm
8 Avr.;56 bpm;146 bpm
7 Avr.;83 bpm;135 bpm
6 Avr.;64 bpm;150 bpm
5 Avr.;64 bpm;156 bpm
4 Avr.;55 bpm;110 bpm
3 Avr.;54 bpm;189 bpm
2 Avr.;56 bpm;150 bpm
1 Avr.;55 bpm;115 bpm
31 Mar.;78 bpm;128 bpm
30 Mar.;60 bpm;138 bpm
29 Mar.;61 bpm;163 bpm
28 Mar.;61 bpm;143 bpm
27 Mar.;55 bpm;190 bpm
26 Mar.;50 bpm;168 bpm
25 Mar.;50 bpm;107 bpm
24 Mar.;56 bpm;119 bpm
23 Mar.;70 bpm;130 bpm
22 Mar.;59 bpm;144 bpm
21 Mar.;67 bpm;123 bpm
20 Mar.;54 bpm;120 bpm
19 Mar.;50 bpm;191 bpm
18 Mar.;53 bpm;173 bpm
16 Mar.;52 bpm;100 bpm
15 Mar.;55 bpm;223 bpm
14 Mar.;55 bpm;187 bpm
13 Mar.;55 bpm;127 bpm
12 Mar.;53 bpm;129 bpm
11 Mar.;57 bpm;115 bpm
10 Mar.;57 bpm;147 bpm
9 Mar.;49 bpm;189 bpm
8 Mar.;57 bpm;105 bpm
7 Mar.;59 bpm;128 bpm
6 Mar.;51 bpm;119 bpm
5 Mar.;50 bpm;185 bpm
4 Mar.;49 bpm;186 bpm
3 Mar.;61 bpm;144 bpm
2 Mar.;59 bpm;189 bpm
1 Mar.;58 bpm;119 bpm
29 Fév.;66 bpm;124 bpm
28 Fév.;56 bpm;115 bpm
27 Fév.;53 bpm;218 bpm
26 Fév.;49 bpm;179 bpm
25 Fév.;67 bpm;150 bpm
24 Fév.;58 bpm;141 bpm
23 Fév.;57 bpm;163 bpm
22 Fév.;54 bpm;124 bpm
21 Fév.;55 bpm;116 bpm
20 Fév.;51 bpm;190 bpm
19 Fév.;48 bpm;177 bpm
18 Fév.;56 bpm;94 bpm
16 Fév.;56 bpm;119 bpm
15 Fév.;53 bpm;117 bpm
14 Fév.;49 bpm;117 bpm
13 Fév.;49 bpm;185 bpm
12 Fév.;51 bpm;163 bpm
11 Fév.;57 bpm;119 bpm
10 Fév.;50 bpm;125 bpm
